id,text,BJP,Congress,Others
1,Modi wave is more like a short spurt of premature ejaculation,0,1,1
2,60YEARS VS 4YEARS  MODI GOVERNMENT IS DOING GREAT I SUPPORT MODI 2019?,1,0,0
3,Only Modi ?????,1,0,0
4,Modi wave end ...now anti Modi wave?,0,1,1
5,Jai Congress?,0,1,0
6,Hate BJP?,0,1,1
7,Modi is Hitler. Vote congres?s,0,1,0
8,Modi is the worst politician of India ever. Get ur facts right?,0,1,1
9,modi is winning  in many state because of spreading hate between hindu and Muslim and I am a Hindu not a Muslim so you think that's why I m against Bjp?,0,1,1
10,"Modi, I was waiting for the day since 200+ People died during Demonetisation. You shall face the Consequences Now....????",0,1,1
11,Rahul is such an irresponsible leader..saw his latest tweet and think about himm...?,1,0,1
12,"Thanks for EC No need again BJP,No need again modi Bjp hatao, desh bachao?",0,1,1
13,Bye Bye BJP 2019 at last huh?,0,1,1
14,Hope we will get good news on 23rd May... That will be a great day or a new journey for our democracy. We don't need arrogant pm. No BJP?,0,1,1
15,anti indian pigs never vote BJP,1,0,0
16,Only congress,0,1,0
17,NAMO Again?,1,0,0
18,modi for 2019.,1,0,0
19,Modi is literally the Trump of India. He's not the problem but the symptom of wider social issues?,0,1,1
20,Modi supporters talking about unity and being secular is like a pure vegetarian person talking about how tasty chicken meat is.?,0,1,1
21,We want Modi again in 2019 to be PM?,1,0,0
22,rahul gandhi 2019 pm?,0,1,0
23,Modi is great for world?,1,0,0
24,Time for Modi to give up?,0,1,1
25,"Modi has been worst PM and curse for India,",0,1,1
26,Modi 2019?,1,0,0
27,I Love you modi?,1,0,0
28,Modi Ji for 2019?,1,0,0
29,"What has modi done , that you all support modi??",0,1,1
30,If unity is so important why is Modi destroying it??,0,1,1
31,"I was a die hard Modi supporter in 2014. But False Promises, Lies, etc, for past 5 years, have really Changed me. I will vote for anyone but the BJP !!! The Electronic Voting machines, should not be used again in 2019, frankly speaking.?",0,1,1
32,I love you Narendra Modi ji....?,1,0,0
33,"MODI JINDADBAD AB KI BAAR FIRSE MODI HAR HAR MAHADEV, HAR BAR MODI. HAR JAGAH MODI. BAS MODI HI MODI. JAI HIND?",1,0,0
34,2019 elections will be difficult for BJP.?,0,1,1
35,No Indian Muslim likes Modi. He is responsible for the genocide of Muslims in Gujarat. Muslims also hate his ideology.,0,1,1
36,Modi is like Hitler.... He is winning by killing Muslims in public like Hitler.... Please spread this news... Modi will kill all Muslims and Christians in 2019 India?,0,1,1
37,You are perfectly correct....India will be destroyed in 5 years if the same Idiots live and vote there?,0,1,1
38,so bjp is best will develop india ....?,1,0,0
39,R. I. P bjp in advance?,0,1,1
40, Rahul fake Gandhi,0,1,0
41,"BJP is arrogant and overconfident. Indians LOVE black money, tax evasion, bribes, nepotism, scams! Let them have the grand alliance of thugs - so that they can continue to divide and loot.?",0,1,1
42,Only modi?,1,0,0
43,Bjp will easily get 290...people vote differently in state and central,1,0,0
44,Bjp still favorable to us in central.?,1,0,0
45,Jai Congress?,0,1,0
46,CONGRESS WILL WIN.RAHUL WILL RULE?,0,1,0
47,Congress win,0,1,0
48,Ambani slave BJP?,0,1,1
